symbol,currentPrice,sharesOutstanding,trailingEps,forwardEps,lastDividendValue,freeCashflow,operatingCashflow,totalRevenue,shortRatio,beta,profitMargins,revenueGrowth,earningsGrowth,debtToEquity,priceToSalesTrailing12Months,returnOnEquity,averageVolume,sharesShort,trailingPE,forwardPE,priceToBook,dividendYield
SW,53.35,520156000,0.72,3.61,0.303,2.52424,2.52424,31.59052,5.17,1.034,0.01345,1.632,1.632,82.987,1.6887976,0.0697,0.00693,0.03536,74.09721,14.423167,1.5383506,0.036
AZO,3293.46,16782200,150.51,174.32,,79.28944,179.00609,1101.77853,2.58,0.713,0.14399,0.09,0.117,-262,2.9892213,0.14281,0.00772,0.01929,21.882002,19.022161,2.9892213,
BA,170.78,748176000,-13.01,0.47,2.055,-5.59578,-7.01573,97.96224,2.12,1.572,-0.10880999,-0.015,-0.015,-245,1.7433248,-0.02665,0.01812,0.03058,244.43236,244.43236,1.7433248,
BAC,45.4,7672880128,2.76,3.66,0.26,-0.26001,-0.26001,12.33253,2.27,1.325,0.24952,-0.005,-0.1,101,3.681322,0.08092,0.00439,0.00978,16.449276,12.268016,1.2835375,0.0232
BK,77.92,727078016,4.53,6.53,0.47,-4.0312,-4.0312,24.48293,2.73,1.06,0.20038,0.047,0.22,69,3.1826255,0.08563,0.00521,0.01321,17.200882,11.77742,1.5047991,0.024400001
BKNG,4909.79,33096700,147.61,209.85,8.75,227.45093,270.35927,696.50446,3.27,1.385,0.21846001,0.089,0.065,279,7.049187,0.15423,0.00647,0.02106,33.261906,23.414164,7.049187,0.0071
C,72.74,1891260032,3.51,7.19,0.56,-25.97792,-25.97792,36.64647,2.74,1.426,0.11524,-0.024,-0.074,319,1.9849117,0.03874,0.0071,0.01911,20.723646,9.98216,0.71378803,0.0315
CAH,119.63,242010000,5.22,8.64,0.506,7.87674,6.55758,927.45755,2.68,0.616,0.0057,-0.043,-0.043,-157.6,0.12898704,0.03175,0.0086,0.02386,22.917625,13.754211,0.12898704,0.017
CFG,44.8,440700992,2.56,3.87,0.42,4.96482,4.96482,16.14473,2.86,1.32,0.18229,-0.061,-0.094,55.99,2.7748988,0.05426,0.00961,0.02399,17.5,11.612415,0.874044,0.0377
COF,183.52,381230016,10.77,15.66,0.6,59.83527,59.83527,69.50397,5.98,1.432,0.16455,0.064,-0.009,78,2.6404247,0.07479,0.00745,0.04092,17.039925,11.740471,1.2054888,0.013300001
DELL,124.66,357336992,5.87,9.4,0.445,9.00585,16.98117,257.00949,1.56,0.954,0.04325,0.091,0.857,-1095,0.9145576,0.04377,0.02065,0.02837,21.2368,13.26293,0.9145576,0.0126
DPZ,424.5,34532000,15.75,17.64,1.51,13.41927,17.82732,135.10582,4.05,0.859,0.122609995,0.031,0.301,-125,3.2424955,0.31768,0.01696,0.06641,26.952381,24.072487,3.2424955,0.0138
FDX,273.97,240851008,15.67,22.75,1.38,12.60582,30.18048,363.67297,2.77,1.177,0.0462,0.139,-0.133,139,0.75454897,0.1507,0.00667,0.01673,17.483727,12.053419,2.4266393,0.02
FICO,1968.01,24347900,20.47,37.17,0.02,21.86502,25.99666,70.54103,3.99,1.352,0.29858,0.164,0.353,-234,27.898798,0.27847,0.00644,0.02423,96.14119,53.345325,27.898798,
FITB,42.94,663881984,3.04,3.65,0.37,7.52694,7.52694,12.14523,5,1.231,0.27583,-0.03,-0.143,65,3.535544,0.119160004,0.00648,0.02833,14.125,11.88098,1.5555716,0.0349
HBAN,16.53,1452809984,1.03,1.34,0.155,0.84595,0.84595,4.60487,2.23,1.057,0.24709,-0.012,-0.057,48,3.5896788,0.08545,0.00987,0.01942,16.048544,12.279464,1.3186024,0.0377
HLT,243.55,243780000,4.63,7.99,0.15,6.26026,7.7775,19.25917,3.17,1.307,0.25069,0.063,-0.042,-345,12.800147,0.09082,0.0055,0.01726,52.602592,30.420328,12.800147,0.0024
HPQ,33.87,937798016,2.87,3.6,0.289,3.46783,4.37301,56.85766,6.19,1.087,0.053319998,0.024,-0.145,-8.25,0.5956981,0.07047,0.00747,0.04058,11.8013935,9.021366,0.5956981,0.028199999
INTU,625.16,279916992,10.19,22.23,1.04,15.17191,17.44803,58.17796,3.14,1.246,0.18195,0.41,-0.185,21,10.832792,0.16597,0.00542,0.01372,61.35034,28.31397,9.5038,0.0061
IRM,103.43,293460000,0.35,1.96,0.715,-0.77033,4.13113,20.40639,5.71,1.023,0.01748,0.122,0.122,3658,5.1797566,0.54398996,0.00538,0.02715,295.51428,52.70453,5.1797566,0.0271
ISRG,542.37,356179008,6.29,7.86,,1.7899,5.11176,22.08693,2.98,1.389,0.28513,0.169,0.345,0.6,24.556154,0.15973,0.00366,0.01039,86.22735,69.03745,12.397311,
JPM,240.85,2815340032,17.98,16.74,1.25,-46.01185,-46.01185,57.59447,3.61,1.091,0.33163,0.03,0.009,133.2,4.181825,0.16216,0.00307,0.01037,13.39544,14.089978,2.0916197,0.020599999
KEY,17.38,1106530048,1.56,1.56,0.205,-0.0235,-0.0235,4.38488,2.17,1.231,0.0305,-0.602,-0.602,153,3.9636219,0.009670001,0.00842,0.0155,11.189585,11.189585,1.2003591,0.047399998
LOW,249.74,564649984,12.09,12.63,1.15,10.77083,16.97866,148.80546,3.28,1.098,0.08248,-0.055,-0.086,-296,1.6782987,0.14649999,0.0041,0.01237,20.656742,19.714085,1.6782987,0.016900001
MAR,272.62,277892992,9.46,10.6,0.63,9.1663,11.45045,23.64219,4.56,1.585,0.42131,0.066,-0.175,-563,11.643613,0.091450006,0.0045,0.01918,28.818182,25.711712,11.643613,0.0092
MCD,292.18,716620032,11.38,12.61,1.67,10.18708,12.98443,36.19589,3.06,0.735,0.3179,0.027,-0.013,-765,8.072186,0.13629,0.0049,0.01256,25.674868,23.165852,8.072186,0.024
MCK,580.43,126940000,19.44,36.81,0.71,34.54782,40.34189,2601.12663,2.77,0.436,0.00768,0.213,-0.62,-239,0.2231456,0.03917,0.00652,0.01605,29.85751,15.822899,0.2231456,0.0049
MO,52.09,1694809984,5.92,5.35,1.02,2.5522,5.09792,12.01433,3.91,0.67,0.50511,0.013,0.099,-736,4.335657,0.21103,0.00446,0.01672,8.798986,9.733884,4.335657,0.076799996
MSCI,596.66,78371296,15.1,17.04,1.6,14.32602,18.62859,35.76214,1.79,1.11,0.43065,0.159,0.092,-614,16.818903,0.18283,0.00578,0.01045,39.513905,35.000095,16.818903,0.0106
MTB,193.25,165920992,13.64,16.28,1.35,16.47772,16.47772,51.22317,3.7,0.732,0.28109,0.012,0.01,48.77,3.7727065,0.08676,0.00685,0.02156,14.167889,11.887809,1.2124349,0.028199999
MTCH,33.38,251091008,2.23,2.48,2,2.70674,3.79993,13.88112,3.55,1.487,0.17864001,0.016,-0.11,-4346,2.4047048,0.123950005,0.01769,0.06109,14.96861,9.919173,2.4047048,0.0233
MTD,1252.25,21102700,37.44,42.6,,36.63955,46.61318,178.28173,2.09,1.159,0.21148,0.013,0.081,-1346,7.023995,0.20142001,0.00629,0.01466,33.44685,29.598219,7.023995,
NTRS,103.21,198218000,8.02,7.64,0.75,24.98259,24.98259,39.6412,1.75,1.073,0.21493,0.145,0.49,37,2.6053772,0.13732,0.00629,0.01164,12.869077,13.079922,1.7243626,0.029000001
ORLY,1210.47,57730700,40.67,44.94,,24.70508,50.95241,284.85525,2.52,0.92,0.14522,0.038,0.064,-372.4,4.2494216,0.14369,0.00575,0.01408,29.763216,26.937662,4.2494216,
OTIS,92.29,399460992,4.02,4.19,0.39,2.96024,3.67996,35.56292,4.33,0.942,0.11481,0.007,0.473,-151.9,2.5951188,0.14079,0.00463,0.01875,22.957712,21.880558,2.5951188,0.0168
PM,121,1554829952,6.3,7.2,1.35,5.92074,7.40724,23.93767,2.34,0.56,0.26417,0.084,0.493,-507.8,5.0547953,0.13116,0.00322,0.00732,19.206348,16.969643,5.0547953,0.044299997
PNC,195.59,396783008,11.83,15.01,1.6,27.58183,27.58183,51.62519,2.82,1.121,0.25107,0.017,-0.031,94,3.7894368,0.099020004,0.00467,0.0126,16.53339,12.955048,1.5701967,0.0327
RF,23.78,908864000,1.78,2.26,0.25,2.94103,2.94103,7.2134,4.61,1.182,0.26693,0.156,0.156,14,3.296642,0.10042,0.00857,0.03648,13.359551,10.566869,1.2766414,0.0423
SBAC,198.93,107523000,6.25,9.17,0.98,5.78289,13.55345,24.7478,1.71,0.672,0.25759,-0.022,2,-240.3,8.154241,0.08582,0.00833,0.01194,31.828798,21.200361,8.154241,0.0194
SBUX,93.13,1133799936,3.31,3.72,0.57,1.89637,5.37626,31.90704,4.38,0.962,0.10396,-0.032,-0.246,-347,2.9187915,0.10503,0.00696,0.02679,28.135952,24.930866,2.9187915,0.026400002
STT,98.43,293151008,6.43,9.34,0.76,-5.45112,-5.45112,42.80388,1.96,1.48,0.16847,0.201,0.808,55,2.299558,0.0855,0.00727,0.01399,15.307932,10.273684,1.2583578,0.0311
STX,89.11,211530000,3.87,9.7,0.72,0.99868,4.18853,34.34501,5.18,1.07,0.11342,0.491,0.491,-437,2.5945544,0.07903,0.01159,0.06173,23.02584,9.613394,2.5945544,0.0323
SYF,67.67,389344000,7.8,6.47,0.25,25.20136,25.20136,23.13378,3.43,1.593,0.35139,0.116,0.311,97.82,2.9251592,0.21279,0.00918,0.0301,8.67564,10.022795,1.7847346,0.015
TDG,1251.32,56230400,25.15,43.48,75,104.16518,36.36823,141.20475,2.64,1.423,0.21587,0.18,-0.2,-397,9.033412,0.098120004,0.00482,0.01572,49.754272,28.653147,9.033412,
TFC,44.1,1327520000,-4.86,3.95,0.52,2.83612,2.83612,10.92036,2.7,1.035,-0.10678001,0.061,0.239,56,4.038327,-0.09505,0.006,0.01528,11.201592,11.201592,0.99188054,0.047199998
USB,48.73,1560029952,3.24,4.33,0.5,4.43774,4.43774,15.95931,3.28,1.04,0.22023001,-0.032,0.127,133,3.0615325,0.09779,0.00496,0.01469,15.040123,11.212481,1.4611255,0.040900003
VRSN,210.68,96100000,8.79,8.65,2.75,7.57674,9.10822,16.04995,2.71,0.911,0.55686,0.038,0.131,-95,13.126522,0.4159,0.00676,0.01783,23.968145,24.391117,13.126522,
WFC,72.03,3329489920,4.81,5.49,0.4,3.70417,3.70417,23.38947,2.29,1.136,0.23228,-0.018,-0.041,167,3.079591,0.099139996,0.00517,0.01131,14.975052,13.13613,1.4634889,0.0224
WYNN,84.61,109815000,8.46,5.02,0.25,-5.71255,12.64403,64.92395,2.09,1.802,0.1337,0.013,0.013,-1258,1.303217,0.05278,0.02231,0.04453,10.001182,17.082129,1.303217,0.012
YUM,130.17,279072000,5.22,6.08,0.67,4.15126,5.81929,25.88221,3.96,1.095,0.21127,0.069,-0.075,-146,5.1556544,0.24328,0.00595,0.02206,24.936783,21.41299,5.1556544,0.0201
AMT,180.26,467288992,4.09,6.79,1.62,10.47157,11.19949,23.89892,1.95,0.842,0.09942,0.0535,0.0535,439.338,7.638851,0.17691,0.00522,0.00973,44.073345,26.310602,23.131014,0.0355
WDC,65.65,345708000,0.93,8.81,0.5,-0.431,1.0587,41.50323,4.08,1.394,0.02648,0.0556,0.0556,58,1.5818045,0.033239998,0.01527,0.06031,70.5914,7.3052726,1.9509658,
CSCO,58.77,3982759936,2.33,3.9,0.4,3.06166,3.05567,13.30133,2.81,0.89,0.17731,-0.056,-0.237,70.647,4.4183555,0.20761,0.00469,0.01427,25.223177,14.932503,5.1788864,0.0272
GEHC,81.72,456872992,3.65,4.67,0.03,3.97868,4.5702,42.81059,2.95,0.99,0.08564,0.009,0.242,126.093,1.9088738,0.21853,0.00654,0.02022,22.38904,17.542315,4.488877,0.0017
GEV,371.32,275652992,4.21,6.9,0.25,13.0345,13.0345,124.8744,2.17,1.31,0.03675,0.08,0.08,9.346,2.973548,0.021,0.0098,0.02204,88.199524,55.66057,10.760092,0.0028
KVUE,21.11,1917260032,0.55,1.22,0.205,0.79273,1.00456,8.06307,2.96,0.06,0.06883,-0.004,-0.125,82.929,2.61811,0.098809995,0.00717,0.02037,38.381817,17.382784,3.8001802,0.0387
SOLV,68.47,172756992,0.38,5.53,,10.30638,8.75797,47.55234,4.85,0.1,0.08764,0.004,-0.737,254.041,1.4398869,0.09747,0.00523,0.02438,180.18422,12.47404,3.7056885,
VLTO,101.17,247308000,3.25,3.75,0.11,3.41629,3.44914,20.76763,2.67,0.86,0.15693,0.047,0.06,143.52,4.8715243,0.5368,0.00537,0.01331,31.12923,27.028254,12.798228,0.0044
DFS,179.21,251227008,14.91,12.69,0.7,37.102,37.102,46.5157,2.24,1.402,0.27306,0.605,0.426,105.313,3.8526778,0.20263,0.00623,0.01239,12.01945,13.923192,2.6061225,0.0159
EQR,68.39,379428992,2.28,1.69,0.675,4.121,4.121,7.75067,4.46,0.913,0.3157,0.034,-0.17,76.033,9.428811,0.08361,0.0038,0.01631,29.995615,41.31777,2.394105,0.0381
RJF,159.87,204044992,9.83,11.14,0.5,10.5614,10.5614,62.61364,5.36,1.002,0.16187,0.132,0.417,45.916,2.5532775,0.19348,0.006,0.02878,16.26348,13.873666,2.956012,0.0127
A,136.43,285594988,4.43,4.43,,6.131,6.131,22.7945,1.8,0.84,0.2063,0.0077,0.0077,53,5.89,0.2453,0.00595,0.0111,30.658426,24.1469,7.52,
L,82.37,221783009,2.29,2.29,,11.547,11.547,76.476,2.9,1.1,0.084,-0.0147,-0.0147,-296,1.65,-0.4823,0.00337,0.0121,11.206803,28.403448,1.67374,
AAPL,245,15115799552,6.08,8.31,0.25,7.33312,7.82321,25.86929,3.67,1.24,0.23971,0.061,-0.341,209.059,9.47069,1.5741299,0.00291,0.01035,40.296055,29.456284,65.03849,0.0041
ABBV,180.1,1767139968,2.86,12.13,1.55,10.03825,9.34335,31.42535,2.77,0.613,0.09222999,0.038,-0.123,1174.815,5.7310414,0.56407,0.00352,0.01049,62.97203,14.79228,52.768826,0.036199998
ABNB,135.2,432876992,2.87,4.5,,7.76895,9.50616,25.04176,3.29,1.156,0.16956,0.099,-0.678,26.614,7.821743,0.20873,0.01027,0.03502,47.108013,30.779737,10.162357,
ABT,113.04,1734460032,3.29,5.16,0.55,3.69272,5.03211,23.76359,2.56,0.722,0.13992,0.049,0.146,37.589,4.756857,0.14840001,0.0029,0.00698,34.35866,21.930864,4.9267783,0.0207
ACGL,90.74,376241984,14.9,9.04,,17.65154,17.98045,44.83019,2.93,0.613,0.33859003,0.418,0.362,12.243,2.0240824,0.30441,0.00524,0.01432,6.089933,10.066406,1.5854212,
ACN,351.33,625480000,11.84,14.07,1.48,12.21777,14.59843,103.75466,2.49,1.245,0.111940004,0.026,0.236,14.127,3.4104471,0.26674998,0.00383,0.01015,29.67314,25.211006,7.7655716,0.017
ADBE,431.18,440200000,12.37,20.55,0.0065,15.03521,15.29305,47.58519,2.21,1.299,0.25588,0.106,0.233,41.788,9.061223,0.35355,0.00802,0.01339,34.85691,18.699476,13.191983,
ADI,218,496296992,3.31,7.54,0.92,5.76675,8.03754,19.54563,3.15,1.078,0.17068,-0.248,-0.546,23.07,11.15339,0.04658,0.00586,0.01498,65.86103,24.558952,3.075751,0.0165
ADM,49.63,478534016,3.53,5.07,0.5,4.48218,9.88226,185.49988,3.05,0.722,0.0293,-0.117,-0.424,52.874,0.26981112,0.1075,0.00615,0.01519,14.05949,9.742032,1.0550371,0.0379
ADP,287.13,407456992,9.22,10.87,1.54,6.40402,11.42575,47.91401,3.46,0.795,0.19715,0.071,0.125,176.65,6.0877814,0.87263,0.00409,0.01491,31.142082,26.404362,21.886576,0.0211
ADSK,292.51,215508992,5,9.18,0.015,7.57973,5.38725,26.93623,1.88,1.474,0.18208,0.119,0.262,105.214,10.916846,0.57445997,0.00656,0.01157,58.502003,31.633307,33.745964,
AEE,86.87,266928000,4.15,4.92,0.67,-7.8125,9.28715,26.44159,2.89,0.462,0.16053,0.056,-0.091,152.976,3.3602371,0.09838,0.00523,0.01327,20.93253,17.60291,1.9594002,0.030199999
AEP,90.32,532564992,4.87,5.89,0.93,-2.3024,12.04247,36.80715,3.45,0.539,0.13464,0.015,-0.016,165.878,2.5008738,0.10182,0.00512,0.01623,18.546202,15.407474,1.8067975,0.0404
AES,13.01,711027008,1.42,2.03,0.173,-11.69892,3.35993,17.27642,2.03,1.09,0.08344,-0.042,1.206,352.879,0.76578426,-0.02549,0.01825,0.04278,9.161972,6.347766,2.8117573,0.052399997
AFL,101.79,555528000,6.64,7.17,0.5,5.20676,5.32106,31.14514,4.06,0.958,0.22015,-0.404,-0.404,50.141,3.3122344,0.16038,0.00365,0.0142,15.32982,14.467993,2.2822359,0.0225
AIG,72.47,623769024,5.01,6.71,0.4,38.16938,7.64225,72.62143,2.65,1.069,-0.04876,-0.086,-0.747,22.306,1.0025975,0.085,0.00632,0.01664,14.46507,10.9749155,1.0141622,0.022
AIZ,207.66,51287400,13.73,17.92,0.8,33.39149,31.05051,229.21418,1.69,0.568,0.06307,0.07,-0.28,39.627,0.92424405,0.15215,0.00684,0.01362,15.124545,11.441587,2.0300906,0.0151
AJG,276.42,249803008,5.17,11.28,0.6,11.02489,10.1568,42.70445,3.48,0.727,0.10988,0.119,0.086,70.273,6.566041,0.10321999,0.00673,0.02938,53.466152,24.17106,4.977581,0.0086
AKAM,93.39,150227008,3.37,6.68,,4.54432,10.41475,26.40168,4.93,0.678,0.13266,0.041,-0.635,96.999,3.5437024,0.11541,0.01185,0.06258,27.712168,13.761063,2.9342089,
ALB,90.19,117540000,-17.22,1.84,0.405,-15.24218,5.13166,55.31715,6.86,1.551,-0.28798,-0.414,-0.414,35.334,1.6304166,-0.17662,0.01861,0.11226,44.24549,44.24549,1.3241814,0.0185
ALGN,218.88,74653104,6.15,10.26,,5.53586,6.68493,53.0523,3.8,1.65,0.111490004,0.018,-0.019,3.235,4.12574,0.11401,0.01066,0.03563,35.590244,21.291641,4.1484404,
ALL,185.91,264803008,15.02,19.03,0.92,11.26215,31.91429,235.76772,1.47,0.481,0.067719996,0.147,0.147,38.833,0.81202817,0.23783001,0.00566,0.00875,12.377497,9.680105,2.6099956,0.019199999
ALLE,129.12,86929296,6.44,7.79,0.48,5.56602,7.77068,42.83941,1.97,1.123,0.15359999,0.054,0.124,162.864,3.038789,0.40822,0.00953,0.01766,20.049688,16.596188,7.1443586,0.0147
AMAT,177.48,813684992,8.61,9.69,0.4,5.40212,9.41028,33.00294,2.78,1.551,0.27743,0.055,0.108,35.409,5.3777018,0.4391,0.00811,0.02054,20.613241,16.806023,7.766157,0.0086
AMCR,9.43,1445340032,0.53,0.79,0.125,0.35407,0.82126,9.37496,3.75,0.863,0.056750003,-0.026,0.257,196.619,1.0058713,0.1958,0.00865,0.04649,17.792454,11.847924,3.475857,0.0547
AMD,129.55,1622809984,1.13,5.1,,1.36884,1.30822,14.97095,1.51,1.706,0.07516,0.176,1.611,3.927,8.653428,0.03262,0.02253,0.03182,114.64602,25.233343,3.6897268,
AME,179.43,231308000,5.74,7.3,0.28,5.50576,7.86609,29.87559,2.25,1.163,0.19271,0.053,0.053,26.778,6.01058,0.14886,0.00494,0.01112,31.259583,24.480923,4.3458147,0.0062
AMGN,258.59,537532992,7.84,20.67,2.25,8.51087,13.50057,60.52466,2.55,0.599,0.13002,0.232,0.621,802.418,4.272474,0.5572,0.00607,0.02146,32.983418,12.52048,18.465439,0.0364
AMP,530.81,97014600,25.9,38.63,1.48,41.98466,86.12106,179.81829,2.45,1.334,0.15517001,0.119,-0.386,67.402,2.9798965,0.56751,0.00466,0.01228,20.494595,13.71134,9.029838,0.011
AMZN,227.61,10515000320,4.69,6.15,,5.16674,10.71859,58.97555,2.09,1.146,0.080419995,0.11,0.521,61.175,3.8593955,0.22558,0.00358,0.00792,48.53092,36.875866,9.231798,
ANET,118.98,1259760000,2.15,9.73,,1.92528,2.54313,5.24953,1.64,1.077,0.40293998,0.2,0.355,0.755,22.66489,0.33833998,0.0059,0.01082,55.339535,48.39891,4.051625,
ANSS,338.65,87450000,6.5,11.01,,8.37869,8.81062,28.2189,3.07,1.111,0.23008,0.312,1.284,14.888,12.000821,0.10479999,0.00531,0.01777,52.1,30.320963,5.0792675,
AON,348.47,216266000,11.5,17.39,0.675,14.27178,14.3157,69.01686,3.81,0.909,0.16320999,0.26,-0.296,274.699,5.128901,0.82182,0.0047,0.01983,30.301739,20.02967,12.082452,0.0076
AOS,68.9,119110000,3.8,4.07,0.34,3.38364,4.96348,32.69079,4.13,1.169,0.14413,-0.037,-0.089,7.471,2.554492,0.29544002,0.00879,0.03264,18.13158,16.991453,5.212195,0.0198
APA,23.66,369947008,7.11,2.75,0.25,2.12699,9.76897,24.20617,3.75,3.246,0.24824,0.104,0.104,105.032,0.9774368,0.6186,0.017,0.06502,3.3277073,6.8835096,1.7113924,0.0427
APD,283.24,222379008,17.19,14.17,1.77,-14.49783,16.39858,54.41431,2.08,0.826,0.31636,-0.001,1.81,79.822,5.2175603,0.2258,0.00627,0.01261,16.47702,20.048187,3.7008388,0.0249
APH,71.13,1205609984,1.77,2.16,0.165,1.37751,2.33027,11.80514,2.09,1.238,0.15403,0.262,0.171,57.565,6.025339,0.25293,0.00541,0.00971,40.18644,33.01845,9.07039,0.0094
